Epoch:  0 |train loss: 1.6070 验证集上准确率： 0.2517321 耗时: 10.175079380999705 s
Epoch:  0 |train loss: 1.6093 验证集上准确率： 0.21939954 耗时: 23.267059276000055 s
Epoch:  0 |train loss: 1.5850 验证集上准确率： 0.27251732 耗时: 36.092121506999774 s
Epoch:  0 |train loss: 1.5273 验证集上准确率： 0.33833718 耗时: 48.85369969800013 s
Epoch:  0 |train loss: 1.5112 验证集上准确率： 0.39145496 耗时: 61.83446700500008 s
Epoch:  0 |train loss: 1.6075 验证集上准确率： 0.40415704 耗时: 75.18836794799972 s
Epoch:  0 |train loss: 1.5463 验证集上准确率： 0.4064665 耗时: 88.04871151999987 s
Epoch:  0 |train loss: 1.5218 验证集上准确率： 0.408776 耗时: 100.96783999299987 s
Epoch:  0 |train loss: 1.5097 验证集上准确率： 0.4053118 耗时: 113.65514417299983 s
Epoch:  0 |train loss: 1.6543 验证集上准确率： 0.36489606 耗时: 126.85413450199985 s
Epoch:  0 |train loss: 1.5611 验证集上准确率： 0.3452656 耗时: 140.1834315189999 s
Epoch:  1 |train loss: 1.4040 验证集上准确率： 0.41224018 耗时: 152.47000152600003 s
Epoch:  1 |train loss: 1.4567 验证集上准确率： 0.41224018 耗时: 165.4923553579997 s
Epoch:  1 |train loss: 1.4364 验证集上准确率： 0.41454965 耗时: 178.30442244100004 s
Epoch:  1 |train loss: 1.4295 验证集上准确率： 0.4053118 耗时: 191.68391425899972 s
Epoch:  1 |train loss: 1.4601 验证集上准确率： 0.41339493 耗时: 204.5826591519999 s
Epoch:  1 |train loss: 1.5381 验证集上准确率： 0.4157044 耗时: 217.57933756500006 s
Epoch:  1 |train loss: 1.4945 验证集上准确率： 0.40415704 耗时: 230.46476820499993 s
Epoch:  1 |train loss: 1.5358 验证集上准确率： 0.4099307 耗时: 243.29102210199972 s
Epoch:  1 |train loss: 1.5181 验证集上准确率： 0.4191686 耗时: 256.7679346079999 s
Epoch:  1 |train loss: 1.3759 验证集上准确率： 0.41108546 耗时: 269.55101278899974 s
Epoch:  1 |train loss: 1.5155 验证集上准确率： 0.39838338 耗时: 282.48368009399974 s
Epoch:  2 |train loss: 1.5031 验证集上准确率： 0.42378753 耗时: 294.94435867899983 s
Epoch:  2 |train loss: 1.4480 验证集上准确率： 0.4203233 耗时: 308.186061374 s
Epoch:  2 |train loss: 1.4274 验证集上准确率： 0.43071595 耗时: 321.50342013 s
Epoch:  2 |train loss: 1.3967 验证集上准确率： 0.40069285 耗时: 334.35472250700013 s
Epoch:  2 |train loss: 1.5058 验证集上准确率： 0.4399538 耗时: 347.2584007649998 s
Epoch:  2 |train loss: 1.5195 验证集上准确率： 0.37297922 耗时: 360.1729738419999 s
Epoch:  2 |train loss: 1.4002 验证集上准确率： 0.40300232 耗时: 373.47323057899985 s
Epoch:  2 |train loss: 1.5087 验证集上准确率： 0.41224018 耗时: 386.52651924600013 s
Epoch:  2 |train loss: 1.5628 验证集上准确率： 0.4364896 耗时: 399.4192264909998 s
Epoch:  2 |train loss: 1.3448 验证集上准确率： 0.4330254 耗时: 412.19200648000015 s
Epoch:  2 |train loss: 1.4114 验证集上准确率： 0.42147806 耗时: 425.3614993450001 s
Epoch:  3 |train loss: 1.4262 验证集上准确率： 0.408776 耗时: 438.016727919 s
Epoch:  3 |train loss: 1.5829 验证集上准确率： 0.4203233 耗时: 450.978295848 s
Epoch:  3 |train loss: 1.3100 验证集上准确率： 0.41685912 耗时: 463.8835801649998 s
Epoch:  3 |train loss: 1.4847 验证集上准确率： 0.40762123 耗时: 476.73098492500003 s
Epoch:  3 |train loss: 1.4223 验证集上准确率： 0.45727482 耗时: 490.10000935300013 s
Epoch:  3 |train loss: 1.4477 验证集上准确率： 0.46420324 耗时: 503.0802873150001 s
Epoch:  3 |train loss: 1.3543 验证集上准确率： 0.44110855 耗时: 516.1180329630001 s
Epoch:  3 |train loss: 1.5256 验证集上准确率： 0.36720553 耗时: 529.2312729289997 s
Epoch:  3 |train loss: 1.4068 验证集上准确率： 0.50230944 耗时: 542.2195155029999 s
Epoch:  3 |train loss: 1.6250 验证集上准确率： 0.49538106 耗时: 555.7364341769999 s
Epoch:  3 |train loss: 1.3171 验证集上准确率： 0.52424943 耗时: 568.891391179 s
Epoch:  4 |train loss: 1.4684 验证集上准确率： 0.49769053 耗时: 581.3202598409998 s
Epoch:  4 |train loss: 1.3907 验证集上准确率： 0.5103926 耗时: 594.5859113699998 s
Epoch:  4 |train loss: 1.3935 验证集上准确率： 0.53810626 耗时: 608.0058671429997 s
Epoch:  4 |train loss: 1.3605 验证集上准确率： 0.41339493 耗时: 621.5644195169998 s
Epoch:  4 |train loss: 1.5506 验证集上准确率： 0.42840648 耗时: 634.6803245030001 s
Epoch:  4 |train loss: 1.4604 验证集上准确率： 0.40069285 耗时: 647.64329013 s
Epoch:  4 |train loss: 1.5541 验证集上准确率： 0.39838338 耗时: 660.7234414219997 s
Epoch:  4 |train loss: 1.4987 验证集上准确率： 0.38452655 耗时: 674.212745325 s
Epoch:  4 |train loss: 1.3983 验证集上准确率： 0.45842957 耗时: 687.4665327320004 s
Epoch:  4 |train loss: 1.3346 验证集上准确率： 0.4399538 耗时: 700.5442385430001 s
Epoch:  4 |train loss: 1.4486 验证集上准确率： 0.5069284 耗时: 713.5779497600001 s
Epoch:  5 |train loss: 1.3491 验证集上准确率： 0.5115473 耗时: 726.460521298 s
Epoch:  5 |train loss: 1.4631 验证集上准确率： 0.43879908 耗时: 739.541548355 s
Epoch:  5 |train loss: 1.6217 验证集上准确率： 0.45381063 耗时: 752.8143453349999 s
Epoch:  5 |train loss: 1.5198 验证集上准确率： 0.45381063 耗时: 765.9308350959996 s
Epoch:  5 |train loss: 1.5540 验证集上准确率： 0.45265588 耗时: 779.0017534670001 s
Epoch:  5 |train loss: 1.5525 验证集上准确率： 0.42725173 耗时: 792.5508995149999 s
Epoch:  5 |train loss: 1.3982 验证集上准确率： 0.42263278 耗时: 805.5656181789996 s
Epoch:  5 |train loss: 1.4792 验证集上准确率： 0.5 耗时: 818.7958370000001 s
Epoch:  5 |train loss: 1.2852 验证集上准确率： 0.5103926 耗时: 831.7935499950004 s
Epoch:  5 |train loss: 1.5269 验证集上准确率： 0.5069284 耗时: 845.0897830139997 s
Epoch:  5 |train loss: 1.3154 验证集上准确率： 0.5288684 耗时: 858.4588039779997 s
Epoch:  6 |train loss: 1.2268 验证集上准确率： 0.5288684 耗时: 870.8360441029995 s
Epoch:  6 |train loss: 1.4493 验证集上准确率： 0.5415704 耗时: 883.9347740420003 s
Epoch:  6 |train loss: 1.2210 验证集上准确率： 0.517321 耗时: 896.9412355050003 s
Epoch:  6 |train loss: 1.4773 验证集上准确率： 0.51501155 耗时: 910.3880707739995 s
Epoch:  6 |train loss: 1.2133 验证集上准确率： 0.48845264 耗时: 923.7408118299995 s
Epoch:  6 |train loss: 1.3260 验证集上准确率： 0.54618937 耗时: 936.7109217749999 s
Epoch:  6 |train loss: 1.3453 验证集上准确率： 0.5265589 耗时: 949.7502683759999 s
Epoch:  6 |train loss: 1.5269 验证集上准确率： 0.5127021 耗时: 962.7988200280001 s
Epoch:  6 |train loss: 1.4423 验证集上准确率： 0.49769053 耗时: 976.3469913849999 s
Epoch:  6 |train loss: 1.3453 验证集上准确率： 0.4734411 耗时: 989.4590991950004 s
Epoch:  6 |train loss: 1.3098 验证集上准确率： 0.5300231 耗时: 1002.4867880369998 s
Epoch:  7 |train loss: 1.4180 验证集上准确率： 0.45727482 耗时: 1015.0490620300002 s
Epoch:  7 |train loss: 1.4504 验证集上准确率： 0.49884528 耗时: 1028.5235433760004 s
Epoch:  7 |train loss: 1.4077 验证集上准确率： 0.48152426 耗时: 1041.703511653 s
Epoch:  7 |train loss: 1.4628 验证集上准确率： 0.5069284 耗时: 1054.8858566799995 s
Epoch:  7 |train loss: 1.4253 验证集上准确率： 0.5230947 耗时: 1067.8975510100004 s
Epoch:  7 |train loss: 1.4677 验证集上准确率： 0.556582 耗时: 1081.0188460129998 s
Epoch:  7 |train loss: 1.4979 验证集上准确率： 0.5600462 耗时: 1094.6939239859998 s
Epoch:  7 |train loss: 1.3431 验证集上准确率： 0.54503465 耗时: 1107.7286980880003 s
Epoch:  7 |train loss: 1.4423 验证集上准确率： 0.5415704 耗时: 1120.7566679440001 s
Epoch:  7 |train loss: 1.3579 验证集上准确率： 0.5496536 耗时: 1133.7759834869998 s
Epoch:  7 |train loss: 1.4595 验证集上准确率： 0.55542725 耗时: 1147.0563733759996 s
Epoch:  8 |train loss: 1.3417 验证集上准确率： 0.54618937 耗时: 1159.7203117209997 s
Epoch:  8 |train loss: 1.4034 验证集上准确率： 0.5635104 耗时: 1172.8311113220002 s
Epoch:  8 |train loss: 1.3703 验证集上准确率： 0.556582 耗时: 1185.9473640760002 s
Epoch:  8 |train loss: 1.4533 验证集上准确率： 0.56235564 耗时: 1198.959874519 s
Epoch:  8 |train loss: 1.2828 验证集上准确率： 0.5635104 耗时: 1212.4781221649996 s
Epoch:  8 |train loss: 1.4352 验证集上准确率： 0.5715935 耗时: 1225.6038975289998 s
Epoch:  8 |train loss: 1.3385 验证集上准确率： 0.5577367 耗时: 1238.7447403680003 s
Epoch:  8 |train loss: 1.2758 验证集上准确率： 0.573903 耗时: 1251.8528553680003 s
Epoch:  8 |train loss: 1.3227 验证集上准确率： 0.55542725 耗时: 1264.9960386119997 s
Epoch:  8 |train loss: 1.2647 验证集上准确率： 0.5819861 耗时: 1278.3512670449995 s
Epoch:  8 |train loss: 1.3313 验证集上准确率： 0.5692841 耗时: 1291.3848927940003 s
Epoch:  9 |train loss: 1.3113 验证集上准确率： 0.5704388 耗时: 1303.8079266580003 s
Epoch:  9 |train loss: 1.2173 验证集上准确率： 0.56235564 耗时: 1316.817518339 s
Epoch:  9 |train loss: 1.4465 验证集上准确率： 0.5704388 耗时: 1330.2331785049996 s
Epoch:  9 |train loss: 1.3088 验证集上准确率： 0.5438799 耗时: 1343.461639918 s
Epoch:  9 |train loss: 1.4630 验证集上准确率： 0.51501155 耗时: 1356.3747341889998 s
Epoch:  9 |train loss: 1.4338 验证集上准确率： 0.5288684 耗时: 1369.300192325 s
Epoch:  9 |train loss: 1.5293 验证集上准确率： 0.49538106 耗时: 1382.591107197 s
Epoch:  9 |train loss: 1.4020 验证集上准确率： 0.53810626 耗时: 1395.8704939989998 s
Epoch:  9 |train loss: 1.3773 验证集上准确率： 0.5438799 耗时: 1409.0087448609997 s
